date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1997-05-15,29.256,30.0,23.124,23.496,6008999,0.0979,,
1997-05-16,23.628,23.748,20.496,20.748,1224999,0.0865,-11.64,
1997-05-19,21.12,21.252,19.5,20.496,508899,0.0854,-1.27,
1997-05-20,20.748,21.0,19.62,19.62,455599,0.0818,-4.22,
1997-05-21,19.62,19.752,16.5,17.124,1571099,0.0714,-12.71,
1997-05-22,17.256,17.376,15.756,16.752,981399,0.0698,-2.24,
1997-05-23,16.872,18.252,15.996,18.0,1328099,0.075,7.45,
1997-05-27,18.12,19.752,17.496,18.996,724799,0.0792,5.6,
1997-05-28,19.5,19.62,18.372,18.372,381199,0.0766,-3.28,
1997-05-29,18.504,18.504,17.748,18.06,289399,0.0753,-1.7,
1997-05-30,18.0,18.12,17.748,18.0,216199,0.075,-0.4,
1997-06-02,18.12,18.372,18.0,18.12,49299,0.0755,0.67,
1997-06-03,18.372,18.372,17.748,17.748,98599,0.074,-1.99,
1997-06-04,17.748,17.88,16.752,17.004,256699,0.0708,-4.32,
1997-06-05,17.004,18.504,16.5,18.504,472699,0.0771,8.9,
1997-06-06,18.192,20.496,18.12,19.872,650599,0.0828,7.39,
1997-06-09,19.872,20.496,19.872,20.256,195999,0.0844,1.93,
1997-06-10,20.496,20.496,18.372,18.996,454899,0.0792,-6.16,
1997-06-11,19.128,19.248,18.372,18.504,98999,0.0771,-2.65,
1997-06-12,18.996,19.752,18.624,19.248,135999,0.0802,4.02,193253991.65
1997-06-13,19.5,19.5,18.996,18.996,57799,0.0792,-1.25,121839594.7
1997-06-16,19.248,19.248,18.756,18.876,76099,0.0786,-0.76,108052795.3
1997-06-17,19.188,19.188,17.94,18.06,392199,0.0753,-4.2,106652395.35
1997-06-18,18.252,18.432,18.0,18.12,205399,0.0755,0.27,103649995.5
1997-06-19,18.12,18.372,18.0,18.12,83599,0.0755,0.0,85799996.25
1997-06-20,18.372,18.624,18.0,18.312,282299,0.0763,1.06,77410796.6
1997-06-23,18.504,18.504,17.748,18.0,87299,0.075,-1.7,62521197.25
1997-06-24,18.06,18.312,17.748,18.12,62599,0.0755,0.67,54574797.55
1997-06-25,18.312,18.312,17.88,18.12,175499,0.0755,0.0,52106397.65
1997-06-26,18.252,18.252,18.06,18.12,265799,0.0755,0.0,51823197.65
1997-06-27,18.192,18.192,17.748,17.88,98999,0.0745,-1.32,50416797.7
1997-06-30,18.12,19.188,17.748,18.504,228899,0.0771,3.49,52571997.65
1997-07-01,18.504,18.504,18.12,18.192,107699,0.0758,-1.69,52681197.65
1997-07-02,18.192,19.128,18.12,19.068,323499,0.0794,4.75,53482797.65
1997-07-03,19.188,23.004,19.128,22.932,1048099,0.0956,20.4,60387597.35
1997-07-07,21.996,24.252,21.996,24.0,671099,0.1,4.6,60633597.35
1997-07-08,24.504,27.996,24.504,27.624,1293099,0.1151,15.1,73798796.8
1997-07-09,27.624,28.62,27.252,27.876,688499,0.1161,0.87,76601996.7
1997-07-10,27.996,30.876,27.996,30.756,754299,0.1281,10.34,84465596.35
1997-07-11,30.252,30.252,26.496,27.504,877599,0.1146,-10.54,93364795.95
1997-07-14,27.876,27.996,25.38,25.62,383699,0.1068,-6.81,97275595.8
1997-07-15,25.62,29.748,25.62,29.256,771999,0.1219,14.14,105626395.45
1997-07-16,29.376,29.94,27.624,27.996,251999,0.1167,-4.27,103943995.5
1997-07-17,28.128,28.128,25.872,26.628,264099,0.1109,-4.97,104648395.45
1997-07-18,26.256,26.628,25.872,25.872,64999,0.1078,-2.8,104425195.45
1997-07-21,26.124,26.376,25.752,26.184,47900,0.1091,1.21,101612395.6
1997-07-22,26.004,26.256,24.756,25.62,130299,0.1068,-2.11,102128395.6
1997-07-23,26.256,27.996,26.124,27.504,271599,0.1146,7.3,104636395.5
1997-07-24,27.624,27.756,26.628,27.12,101399,0.113,-1.4,103747195.55
1997-07-25,26.628,27.0,26.628,26.748,51699,0.1115,-1.33,101177995.65
1997-07-28,26.748,28.752,26.628,27.876,214499,0.1161,4.13,102563995.6
1997-07-29,28.38,30.0,27.996,29.748,401199,0.124,6.8,104631595.5
1997-07-30,30.0,30.06,29.124,29.376,209799,0.1224,-1.29,105856795.45
1997-07-31,29.256,29.256,27.996,28.752,121199,0.1198,-2.12,103429195.55
1997-08-01,28.128,29.004,27.0,29.004,298999,0.1208,0.83,94439995.95
1997-08-04,28.5,28.932,27.624,27.756,222599,0.1156,-4.3,89057996.2
1997-08-05,27.996,27.996,25.752,26.496,252699,0.1104,-4.5,76573196.7
1997-08-06,26.496,27.756,26.256,27.0,103599,0.1125,1.9,69554397.0
1997-08-07,27.0,27.12,25.5,26.124,169399,0.1089,-3.2,62535597.3
1997-08-08,26.004,27.624,25.248,27.504,184299,0.1146,5.23,54215997.65
1997-08-11,27.504,27.996,27.0,27.936,103299,0.1164,1.57,50851197.8
1997-08-12,27.372,27.624,26.376,26.376,47600,0.1099,-5.58,42158398.2
1997-08-13,26.748,26.748,26.004,26.376,49199,0.1099,0.0,39724798.3
1997-08-14,26.124,27.0,25.44,25.872,86799,0.1078,-1.91,37597198.4
1997-08-15,25.62,25.872,23.256,25.38,133099,0.1057,-1.95,38414398.4
1997-08-18,24.624,24.624,23.628,24.504,148699,0.1021,-3.41,39623998.3
